㐀	丘
盖	蓋kLau,kMatthews,kMeyerWempe 葢kFenn
盗	盜kMatthews
盙	簠kMatthews,kMeyerWempe
盜	盗kMatthews
盡	尽kLau,kMatthews
盩	盭kMeyerWempe
盪	蕩 蘯
盭	盩kMeyerWempe
眇	緲kMeyerWempe
眈	躭kMatthews
眎	視kMatthews
眞	真kLau,kMatthews
真	眞kLau,kMatthews
眥	眦kMatthews
眦	眥kMatthews
眾	衆kLau,kMatthews 𠂝kLau
着	著
睏	困kFenn
睫	䀹kMatthews
睹	覩kMatthews,kMeyerWempe
睾	皋kMatthews
睿	叡kMatthews,kMeyerWempe
瞅	矁kFenn
瞍	𥈟kHanYu,kMeyerWempe
瞠	瞪kMatthews,kMeyerWempe
瞥	苤kMatthews
瞪	瞠kMatthews,kMeyerWempe
瞬	䀢kMatthews
瞯	瞷kMeyerWempe
瞰	矙kMatthews
瞷	瞯kMeyerWempe
瞹	曖kMeyerWempe
瞿	䀠kMatthews
矁	瞅kFenn
矋	矖kMeyerWempe
矖	矋kMeyerWempe
矙	瞰kMatthews
矧	訠kMatthews,kMeyerWempe
矮	躷kMatthews,kMeyerWempe
石	𥐘kHanYu
砅	濿kMeyerWempe
砇	珉kFenn
砌	纖kLau
砒	磇kMatthews,kMeyerWempe
研	揅kMatthews
砠	岨kMatthews,kMeyerWempe
砣	𥓿kFenn 鉈kMatthews
砥	厎kMatthews
砦	寨kLau,kMatthews,kMeyerWempe
砧	碪kLau,kMatthews
砲	炮kMeyerWempe 礮kLau,kMatthews,kMeyerWempe
硜	䃘kMatthews 踁kMeyerWempe
硤	唊kMeyerWempe
硭	𥐞kMeyerWempe
碁	棊kLau,kMatthews 棋kLau,kMatthews
碍	㝵kMatthews 礙kLau,kMatthews,kMeyerWempe
碔	珷kMeyerWempe
碗	椀kMatthews,kMeyerWempe 盌kLau,kMatthews,kMeyerWempe
碪	砧kLau,kMatthews
碯	瑙kMatthews
碰	掽kFenn
碱	鹼kLau 鹻kLau
磁	瓷kMatthews
磇	砒kMatthews,kMeyerWempe
磊	磥kMatthews
磌	𧰊kMeyerWempe
磒	隕kLau,kMatthews,kMeyerWempe
磚	甎kLau,kMatthews,kMeyerWempe
磛	嶃kMeyerWempe
磡	墈kLau,kMatthews
磥	磊kMatthews
磪	崔kMatthews,kMeyerWempe
磴	嶝kMatthews
磵	澗kMatthews
磽	墝kMatthews
礙	㝵kMatthews 碍kLau,kMatthews,kMeyerWempe
礟	礮kLau,kMatthews
礦	鑛kLau,kMatthews,kMeyerWempe
礮	炮kMeyerWempe 砲kLau,kMatthews,kMeyerWempe 礟kLau,kMatthews
礱	𤮨kMeyerWempe
礶	罐kFenn
示	礻kMatthews
礻	示kMatthews
礼	礼kMatthews 禮kMatthews,kMeyerWempe
礿	禴kMatthews,kMeyerWempe
祐	佑kFenn
祕	秘kMatthews,kMeyerWempe
禀	稟kMeyerWempe
禂	禱kMatthews
禮	礼kMatthews,kMeyerWempe 礼kMatthews
禱	禂kMatthews
禴	礿kMatthews,kMeyerWempe
禿	秃kMatthews
秃	禿kMatthews
秄	耔kMeyerWempe
秆	稈kMatthews
秇	埶kMatthews 蓺kMatthews 藝kMatthews
秈	籼kMatthews
秋	䆋kMatthews 秌kLau 龝kMatthews
秌	秋kLau
秏	耗kMatthews
秐	耘kMatthews,kMeyerWempe
秔	粳kMatthews,kMeyerWempe 稉kMatthews,kMeyerWempe
秕	粃kMatthews
秘	祕kMatthews,kMeyerWempe
秸	稭kMatthews
移	迻kMatthews
稈	秆kMatthews
稉	秔kMatthews,kMeyerWempe 粳kMatthews,kMeyerWempe
稊	䄺kMeyerWempe
稘	朞kMatthews
稚	䕌kMatthews 穉kMatthews 稺kMeyerWempe
稜	棱kMeyerWempe 楞kFenn
稟	禀kMeyerWempe
稬	糯kMatthews
稭	秸kMatthews
稱	偁kMatthews 穪kMatthews
稺	稚kMeyerWempe
稾	稿kMatthews,kMeyerWempe
稿	槀kLau 稾kMatthews,kMeyerWempe
穀	糓kMatthews,kMeyerWempe
穅	糠kLau,kMatthews,kMeyerWempe
穉	稚kMatthews
穌	甦kLau,kMatthews
穎	頴kMatthews
穤	糯kFenn
穩	㒚kMatthews
穪	偁kMatthews 稱kMatthews
穫	檴kMeyerWempe
穽	阱kMatthews,kMeyerWempe
窃	竊kLau,kMatthews,kMeyerWempe
窌	窖kMatthews
窓	䆫kMeyerWempe 牕kLau,kMatthews 窗kLau,kMatthews,kMeyerWempe 窻kFenn
窖	窌kMatthews
窗	䆫kMeyerWempe 牕kFenn 窓kLau,kMatthews,kMeyerWempe 窻kFenn
窮	竆kLau,kMatthews,kMeyerWempe
窯	窰kMatthews,kMeyerWempe
窰	窯kMatthews,kMeyerWempe
窴	塡kMatthews
窶	寠kMatthews,kMeyerWempe,kPhonetic
窻	牕kFenn 窓kFenn 窗kFenn
竆	窮kLau,kMatthews,kMeyerWempe
竈	灶kHKGlyph,kLau,kMatthews,kMeyerWempe
竉	䆔kMeyerWempe 𥥅kMeyerWempe
竊	窃kLau,kMatthews,kMeyerWempe
竒	奇kLau,kMatthews
竚	佇kMatthews,kMeyerWempe
竝	並kMatthews 并kMatthews 幷kMatthews
竢	俟kMatthews,kMeyerWempe
竪	豎kLau,kMatthews
競	誩kMatthews
竻	簕kMeyerWempe 𥵚kMeyerWempe
竿	𣔼kLau
笋	筍kLau,kMatthews,kMeyerWempe
笑	咲kFenn
笓	篦kMatthews,kMeyerWempe
笔	筆kMatthews,kMeyerWempe
笛	篴kFenn
笨	㤒kFenn
筆	笔kMatthews,kMeyerWempe
筍	笋kLau,kMatthews,kMeyerWempe
筏	栰kMatthews
答	荅kLau,kMeyerWempe
筦	管kMatthews
筭	算kMatthews
筯	箸kMatthews
筱	篠kMatthews
箇	个kLau,kMatthews,kMeyerWempe 個kLau,kMatthews
箋	牋kLau,kMatthews
箍	箛kFenn
箎	篪kMatthews
箒	帚kMatthews,kMeyerWempe
箖	籃kMeyerWempe
算	筭kMatthews
箛	箍kFenn
箠	捶kMeyerWempe
管	筦kMatthews
箴	針kMeyerWempe 鍼kMeyerWempe
箸	筯kMatthews
箾	簫kMatthews
篋	匧kMatthews
篠	筱kMatthews
篡	簒kMatthews
篢	槓kMeyerWempe
篦	笓kMatthews,kMeyerWempe
篩	簛kMatthews 簁kMatthews
篪	箎kMatthews
篴	笛kFenn
篺	棑kMeyerWempe
簁	篩kMatthews 簛kMatthews
簌	雝kCowles 
簒	篡kMatthews
簕	竻kMeyerWempe
簛	篩kMatthews 簁kMatthews
簠	盙kMatthews,kMeyerWempe
簡	耕kLau
簣	蕢kMeyerWempe 籄kMatthews,kMeyerWempe
簨	栒kMatthews,kMeyerWempe
簫	燒kLau 箾kMatthews
簷	檐kMatthews,kMeyerWempe
簻	檛kMeyerWempe
簾	𢅖kMeyerWempe 𢅏kLau
籃	箖kMeyerWempe
籄	簣kMatthews,kMeyerWempe 蕢kMeyerWempe
籐	藤kLau,kMatthews,kMeyerWempe
籑	䉵kMatthews 饌kMatthews
籥	龠
籲	龥kLau,kMatthews,kMeyerWempe
籼	秈kMatthews
粃	秕kMatthews
粗	麤kMatthews 麄kMatthews 觕kMatthews
粘	黏kLau
粤	粵kMatthews
粦	㷠kMatthews 燐kMatthews,kMeyerWempe
粧	妝kLau,kMatthews,kMeyerWempe
粮	糧kLau,kMatthews,kMeyerWempe
粳	秔kMatthews,kMeyerWempe 稉kMatthews,kMeyerWempe
粵	粤kMatthews
粽	糉kHKGlyph,kLau,kMatthews,kMeyerWempe
糇	餱kMatthews,kMeyerWempe
糉	粽kHKGlyph,kLau,kMatthews,kMeyerWempe
糓	穀kMatthews,kMeyerWempe
糕	餻kLau,kMatthews,kMeyerWempe
糖	餹kMatthews
糙	㿷kMatthews,kMeyerWempe
糟	醩kMatthews
糠	穅kLau,kMatthews,kMeyerWempe
糡	糨kMatthews
糤	饊kMeyerWempe
糧	粮kLau,kMatthews,kMeyerWempe
糨	糡kMatthews
糯	稬kMatthews 穤kFenn
糰	䊜kFenn
糶	條kLau
糸	糹kMatthews
糹	糸kMatthews
糺	糾kMatthews,kMeyerWempe
糾	糺kMatthews,kMeyerWempe
紙	帋kMatthews
級	𨸚kFenn
紟	衿kFenn
紥	紮
紬	綢kFenn
紮	扎kMeyerWempe 紥kFenn
紲	緤kMeyerWempe
紹	佋kMatthews
絃	弦kFenn
絅	褧kMatthews,kMeyerWempe
絖	纊kMatthews
絚	緪kMatthews 縆kMatthews
絛	縚kMatthews
絝	袴kLau,kMatthews 褲kLau,kMatthews
絥	鞴kMatthews
絪	氤kMeyerWempe
統	綂kHanYu:T
綂	統kHanYu
綉	繡kHKGlyph,kLau,kMatthews,kMeyerWempe
綑	捆kLau
經	𦀇kHanYu
綠	氯kMatthews
綢	紬kFenn
綫	線kHKGlyph,kLau,kMatthews,kMeyerWempe
綳	繃kLau,kMatthews
綻	䘺kFenn
綿	緜kMatthews,kMeyerWempe
緊	𦂳kHanYu
線	綫kHKGlyph,kLau,kMatthews,kMeyerWempe
緜	綿kMatthews,kMeyerWempe
緣	縁kMatthews
緤	紲kMeyerWempe
緥	褓kMatthews
緪	絚kMatthews 縆kMatthews
緲	眇kMeyerWempe
縁	緣kMatthews
縆	絚kMatthews 緪kMatthews
縐	皺kLau
縚	絛kMatthews
縟	溽kLau
縭	褵kMeyerWempe
縯	䌥kFenn
總	搃kFenn 摠kFenn
繃	綳kLau,kMatthews
繅	繰kMatthews
繈	繦kMatthews 襁kMatthews,kMeyerWempe
繖	傘kMatthews
繞	遶kMatthews,kMeyerWempe
繡	綉kHKGlyph,kLau,kMatthews,kMeyerWempe
繦	繈kMatthews 襁kMatthews
繩	䋲kMeyerWempe
繮	韁kLau,kMatthews
繰	繅kMatthews
繲	挫kMatthews
纊	絖kMatthews
纎	纖kMeyerWempe
纖	砌kLau 纎kMeyerWempe
纜	䌫kMeyerWempe
缶	缻kMatthews
缸	堈kLau,kMatthews 罁kLau,kMatthews
缻	缶kMatthews
缽	鉢kHKGlyph
缾	瓶kMatthews,kMeyerWempe
罁	堈kLau,kMatthews 缸kLau,kMatthews
罃	甖kMatthews 罌kMatthews
罅	𨻲kFenn
罇	墫kMatthews 樽kLau,kMatthews,kMeyerWempe
罈	墰kFenn 壜kMatthews
罋	瓮kMatthews 甕kMatthews
罌	甖kMatthews 罃kMatthews
罐	礶kFenn
网	㓁kMatthews 罔kFenn
罔	网kFenn
罗	羅kFenn
罩	䈇kLau,kMatthews
罪	辠kLau,kMatthews
置	寘kMatthews
罵	傌kMatthews
羃	冪kMatthews
羅	罗kFenn
羈	覊kMatthews
羌	羗kMatthews
美	羙kMeyerWempe
羓	豝kMeyerWempe
羖	𦍩kMeyerWempe
羗	羌kMatthews
羙	美kMeyerWempe
羡	羨kFenn
羣	群kHKGlyph,kLau,kMatthews,kMeyerWempe
群	羣kHKGlyph,kLau,kMatthews,kMeyerWempe
羨	羡kFenn
義	义kFenn
羮	羹kMatthews,kMeyerWempe
羴	羶kMatthews
羶	羴kMatthews
羹	羮kMatthews,kMeyerWempe
翄	翅kMatthews,kMeyerWempe
翅	翄kMatthews,kMeyerWempe
翥	䬡kMatthews,kMeyerWempe
翦	剪kLau,kMatthews,kMeyerWempe
翱	翺kHKGlyph
翺	翱kHKGlyph
耀	曜kCowles 燿kCowles,kFenn
考	攷kMatthews
耏	耐kMatthews
耐	耏kMatthews
耑	專kLau,kMatthews,kMeyerWempe
耔	秄kMeyerWempe
耕	畊kLau,kMatthews 簡kLau
耗	秏kMatthews
耘	秐kMatthews,kMeyerWempe
耙	鈀kMatthews
耤	藉kMatthews
耨	鎒kMatthews
耰	櫌kMatthews
耻	恥kLau,kMatthews,kMeyerWempe
耼	聃kMatthews
聃	耼kMatthews
聖	圣kMatthews,kMeyerWempe
聝	馘kMatthews,kMeyerWempe
聦	聰kLau,kMatthews,kMeyerWempe
聰	聦kLau,kMatthews,kMeyerWempe
聲	声kMatthews,kMeyerWempe
職	軄kLau,kMatthews
聻	魙kMeyerWempe
聽	听kLau,kMatthews
肆	四kLau
肇	肈kLau,kMatthews
肈	肇kLau,kMatthews
肐	胳kMatthews 𩨘kFenn
肕	韌kLau
股	𦙶kLau,kMeyerWempe
肢	胑kMatthews
肧	胚kMatthews,kMeyerWempe
肨	胮kMatthews
肬	疣kMatthews
肱	厷kMatthews,kMeyerWempe
育	毓kMatthews
肳	吻kMatthews,kMeyerWempe
肴	餚kLau
胄	伷kMatthews 冑kFenn
胆	膽kLau,kMatthews,kMeyerWempe
胑	肢kMatthews
胓	𦚓
胔	骴kMatthews
胗	疹kMatthews
胚	肧kMatthews,kMeyerWempe
胭	臙kLau,kMatthews
胮	肨kMatthews
胯	骻kMeyerWempe
胳	肐kMatthews 𩨘kFenn
胷	匈kLau,kMatthews 胸kLau,kMatthews
胸	匈kLau,kMatthews,kMeyerWempe 胷kLau,kMatthews
脃	脆kMatthews,kMeyerWempe
脅	脇kMatthews
脆	脃kMatthews,kMeyerWempe
脇	脅kMatthews
脈	衇kLau,kMatthews 脉kLau,kMatthews,kMeyerWempe
脉	䘑kMeyerWempe 脈kLau,kMatthews,kMeyerWempe 衇kLau,kMatthews
脚	腳kLau,kMatthews,kMeyerWempe
脣	唇kHKGlyph,kLau,kMatthews,kMeyerWempe
脪	㾙kMatthews
脹	痮kMatthews
腊	臈kLau,kMatthews 臘kLau,kMatthews
腕	𦙵kFenn
腢	髃kMatthews
腦	匘kMatthews
腫	尰kMatthews
腭	齶kLau,kMatthews
腮	顋kLau,kMatthews,kMeyerWempe
腳	脚kLau,kMatthews,kMeyerWempe
腿	骽kMatthews
膆	嗉kMatthews
膋	膫kMatthews,kMeyerWempe
膫	膋kMatthews,kMeyerWempe
膳	饍kLau,kMatthews
膽	胆kLau,kMatthews,kMeyerWempe
膾	鱠kMatthews
臇	𤎱kFenn
臈	腊kLau,kMatthews 臘kLau,kMatthews
臊	𦞣kHanYu:T
臏	髕kMatthews,kMeyerWempe
臘	腊kLau,kMatthews 臈kLau,kMatthews
臙	胭kLau,kMatthews
臞	癯kMeyerWempe
臥	卧kHKGlyph
臯	皋kMatthews
臺	台kHKGlyph,kLau
舀	抌kMatthews
與	与kMatthews,kMeyerWempe
興	㒷kLau,kMatthews
舉	㪯kFenn 擧kHKGlyph
舊	旧kMatthews,kMeyerWempe
舐	舓kLau,kMatthews,kMeyerWempe
舓	舐kLau,kMatthews,kMeyerWempe
舔	餂kFenn
舖	鋪kLau
舘	館kMatthews,kMeyerWempe
舡	船kMeyerWempe
舦	艜kMeyerWempe
舵	柁kMeyerWempe
船	舡kMeyerWempe
艜	舦kMeyerWempe
艢	檣kMatthews
艥	楫kMatthews 檝kMatthews
艪	樐kMatthews 櫓kLau,kMatthews
艶	豓kMatthews 豔kHKGlyph,kLau,kMatthews
艸	草kMatthews 艹kMatthews
艹	艸kMatthews 草kMatthews
芒	杧kLau
芔	卉kMatthews
芟	𠚹kMeyerWempe
芦	蘆kFenn
花	蘤kLau
芻	蒭kMatthews,kMeyerWempe 𦷝
苕	䒒kMatthews
苟	茍kMatthews
苡	苢kMatthews
苢	苡kMatthews
苤	瞥kMatthews
苺	莓kMatthews
茍	苟kMatthews
茠	薅kMatthews
茲	兹kMatthews 玆kMatthews
荅	答kLau,kMeyerWempe
荆	荊kMatthews
荇	莕kMeyerWempe
草	艸kMatthews 艹kMatthews
荊	荆kMatthews
荍	蕎kMatthews
荐	薦kHKGlyph,kMeyerWempe
荔	栛kMatthews
荣	榮kMeyerWempe
荳	豆kLau
莀	農kMatthews
莅	涖kMatthews 蒞kMatthews,kMeyerWempe
莊	庄kLau
莓	苺kMatthews
莕	荇kMeyerWempe
莜	蓧kMatthews,kMeyerWempe
莿	朿kMatthews
菇	菰kMeyerWempe
菌	蕈kMatthews
菑	災kFenn 灾kFenn 烖kFenn 甾kMatthews
菓	果kFenn
菔	蔔kMeyerWempe
菢	勽kMatthews
菫	堇kMatthews
菰	菇kMeyerWempe
菴	庵kHKGlyph,kMatthews
菸	烟kFenn 煙
萆	蓖kMatthews
萬	万kLau,kMatthews,kMeyerWempe 卍kFenn
萱	萲kMatthews
萲	萱kMatthews
葁	薑kMatthews
著	着
葚	椹kFenn
葢	盖kFenn 蓋kLau,kMeyerWempe
葬	塟kMatthews
葯	藥kLau,kMatthews,kMeyerWempe
葱	蔥kLau
蒓	蓴kMatthews
蒞	涖kMatthews 莅kMatthews,kMeyerWempe
蒭	芻kMatthews,kMeyerWempe
蒸	烝kFenn
蓋	盖kLau,kMatthews,kMeyerWempe 葢kLau,kMeyerWempe
蓖	萆kMatthews
蓧	莜kMatthews,kMeyerWempe
蓴	蒓kMatthews
蓺	埶kMatthews 秇kMatthews 藝kLau,kMatthews
蔔	菔kMeyerWempe
蔚	嶎kMatthews
蔥	葱kLau
蔭	廕kMatthews
蔴	麻
蕈	菌kMatthews
蕊	蕋kMatthews
蕋	蕊kMatthews
蕎	荍kMatthews
蕢	簣kMeyerWempe 籄kMeyerWempe
蕣	橓kMeyerWempe
蕤	甤kMatthews
蕩	偒 盪 蘯
薅	茠kMatthews
薑	葁kMatthews
薟	蘞kMeyerWempe
薦	荐kHKGlyph,kMeyerWempe
薯	藷kLau,kMatthews,kMeyerWempe
藇	𨣦kMeyerWempe
藉	耤kMatthews
藝	埶kMatthews 秇kMatthews 蓺kLau,kMatthews
藟	蘽kMeyerWempe
藤	籐kLau,kMatthews,kMeyerWempe
藥	葯kLau,kMatthews,kMeyerWempe
藦	蘑kFenn
藷	薯kLau,kMatthews,kMeyerWempe
蘆	芦kFenn
蘑	藦kFenn
蘖	櫱kMatthews
蘞	薟kMeyerWempe
蘤	花kLau
蘯	盪 蕩
蘽	藟kMeyerWempe
虐	䖈kHanYu
虓	唬kMeyerWempe 猇kMatthews,kMeyerWempe
虔	䖍kMatthews
處	䖏kMatthews 処kMatthews
虜	擄kLau,kMatthews,kMeyerWempe
虞	𩦢kMeyerWempe
號	号kLau,kMatthews
虣	暴kMatthews
虫	蟲kMeyerWempe
虬	蚪kMeyerWempe 虯kMatthews
虯	虬kMatthews
虱	蝨kMatthews,kMeyerWempe
蚊	蟁kMatthews
蚋	蜹kMatthews
蚓	螾kMatthews,kMeyerWempe
蚕	蠶kMatthews,kMeyerWempe
蚘	痐kMeyerWempe 蛔kMatthews 蛕kMatthews
蚝	螆kMatthews
蚤	䖣kLau,kMatthews
蚦	蚺kMatthews
蚪	虬kMeyerWempe
蚺	蚦kMatthews
蛄	蛌kMatthews
蛆	𧐅kMeyerWempe
蛋	蜑kLau,kMatthews
蛌	蛄kMatthews
蛓	螆kMeyerWempe
蛔	蚘kMatthews 蛕kMatthews,kMeyerWempe
蛕	蚘kMatthews 蛔kMatthews,kMeyerWempe
蛗	𧌓kHanYu
蛙	鼃kMatthews,kMeyerWempe
蛛	鼄kMatthews
蜂	蠭kMatthews,kMeyerWempe
蜇	𧋍kFenn
蜋	螂kMatthews
蜍	蠩kMatthews
蜑	蛋kLau,kMatthews
蜝	蜞kMeyerWempe
蜞	蜝kMeyerWempe
蜡	䄍kMeyerWempe 蠟kLau,kMatthews
蜨	蝶kMatthews
蜫	䖵kMatthews
蜶	蟀kMeyerWempe
蜹	蚋kMatthews
蝃	螮kMeyerWempe
蝇	蠅kMeyerWempe
蝎	蠍kMeyerWempe
蝟	猬kMatthews,kMeyerWempe
蝥	蟊kMatthews,kMeyerWempe
蝦	鰕kMeyerWempe
蝨	虱kMatthews,kMeyerWempe
蝯	猨kMatthews,kMeyerWempe 猿kMatthews,kMeyerWempe
蝱	䖟kMatthews
蝶	蜨kMatthews
螂	蜋kMatthews
螆	蚝kMatthews 蛓kMeyerWempe
融	螎kMeyerWempe
螎	融kMeyerWempe
螗	螳kMeyerWempe
螘	蟻kLau
螙	蠧kMatthews
螮	蝃kMeyerWempe
螳	螗kMeyerWempe
螺	蠃kMeyerWempe
螾	蚓kMatthews,kMeyerWempe
蟀	蜶kMeyerWempe
蟁	蚊kMatthews
蟊	蝥kMatthews,kMeyerWempe
蟚	蟛kLau
蟛	蟚kLau
蟮	蟺kMatthews
蟲	虫kMeyerWempe
蟹	蠏kLau
蟺	蟮kMatthews
蟻	螘kLau
蠃	螺kMeyerWempe
蠅	蝇kMeyerWempe
蠍	蝎kMeyerWempe
蠏	蟹kLau
蠔	𧐢kMeyerWempe
蠟	蜡kLau,kMatthews
蠧	螙kMatthews
蠩	蜍kMatthews
蠭	蜂kMatthews,kMeyerWempe
蠶	蚕kMatthews,kMeyerWempe
衂	衄kMatthews
衄	衂kMatthews
衅	釁kMatthews,kMeyerWempe
衆	眾kLau,kMatthews 𠂝kFenn
衇	脈kLau,kMatthews 脉kLau,kMatthews
衛	衞kLau,kMatthews
衝	𧘂kFenn
衞	衛kLau,kMatthews
衣	衤kMatthews
衤	衣kMatthews
衮	袞kMatthews
衽	袵kMatthews,kMeyerWempe
衿	紟kFenn 襟kMatthews
袋	帒kLau,kMatthews
袒	襢kLau,kMatthews
袜	襪kLau
袞	衮kMatthews
袠	帙kMatthews
袴	絝kLau,kMatthews 褲kLau,kMatthews,kMeyerWempe
袵	衽kMatthews,kMeyerWempe
袷	裌kMatthews,kMeyerWempe
裉	褃kFenn
裌	袷kMatthews,kMeyerWempe
裏	裡kHKGlyph,kLau,kMatthews
裙	帬kMatthews 裠kFenn
裠	裙kFenn
裡	裏kHKGlyph,kLau,kMatthews
裸	躶kLau,kMatthews
褃	裉kFenn
褎	褏kMatthews
褏	褎kMatthews
褒	襃kHKGlyph,kLau,kMatthews
褓	緥kMatthews
褟	溻kFenn
褢	褱kMatthews
褧	絅kMatthews,kMeyerWempe
褱	褢kMatthews
褲	絝kLau,kMatthews 袴kLau,kMatthews,kMeyerWempe
褵	縭kMeyerWempe
褺	䙝kMatthews 褻kMatthews
褻	䙝kLau,kMatthews 褺kMatthews
襁	繈kMatthews,kMeyerWempe 繦kMatthews
襃	褒kHKGlyph,kLau,kMatthews
襄	㐮
襍	雜kMatthews
襖	澳kMatthews 𥜌kMatthews
襜	襝kMeyerWempe
襝	襜kMeyerWempe
襟	衿kMatthews
襢	袒kLau,kMatthews
襪	袜kLau 韤kMatthews 韈kMatthews
襮	幞kMeyerWempe
襯	儭kMatthews
覇	霸kMeyerWempe
覊	羈kMatthews
覌	觀kMatthews
覐	覺kMatthews
覓	覔kMatthews
覔	覓kMatthews
視	眎kMatthews
覘	䦓kMeyerWempe 𦕒kMeyerWempe
覥	靦kMeyerWempe
覩	睹kMatthews,kMeyerWempe
覰	覷kMatthews,kMeyerWempe
覷	覰kMatthews,kMeyerWempe
覺	覐kMatthews
觀	覌kMatthews
觔	斤kLau,kMatthews,kMeyerWempe
觕	粗kMatthews 麄kMatthews 麤kMatthews
觜	咀kLau 嘴kLau
觝	牴kMatthews,kMeyerWempe
解	觧kLau,kMatthews
觥	觵kMatthews,kMeyerWempe
觧	解kLau,kMatthews
觵	觥kMatthews,kMeyerWempe
訇	渹kMeyerWempe 𢕐kMeyerWempe
託	侂kMatthews
訛	譌kHKGlyph,kMatthews,kMeyerWempe
訠	矧kMatthews,kMeyerWempe
訥	吶kLau,kMatthews
訦	諶kMatthews,kMeyerWempe
訩	詾kMatthews
訴	愬kMatthews
証	證kLau,kMatthews,kMeyerWempe
訽	詬kMatthews
詋	呪kFenn
詠	咏kMatthews,kMeyerWempe
詤	謊kMatthews
詧	察kMatthews,kMeyerWempe
詬	訽kMatthews
話	䛡kMatthews
詵	侁kMeyerWempe 駪kMeyerWempe
詾	訩kMatthews
誇	夸kMeyerWempe
誐	哦kMeyerWempe
誕	𧩙kLau,kMeyerWempe
誘	䛻kMatthews
誚	譙kFenn
誤	悞kLau
誩	競kMatthews
諁	啜kMeyerWempe
談	譚kLau
諉	餵kLau
諊	鞫kMatthews,kMeyerWempe
諕	唬kMatthews
諠	喧kMeyerWempe
諡	謚kMatthews
諤	讍kMatthews
諧	龤kMatthews
諮	咨kMatthews,kMeyerWempe 嗞kMatthews,kMeyerWempe
諵	喃kLau,kMatthews,kMeyerWempe
諶	訦kMatthews,kMeyerWempe
謊	詤kMatthews
謌	歌kLau,kMatthews
謚	諡kMatthews
謫	讁kMatthews
謱	嘍kMeyerWempe
譁	嘩kLau,kMatthews,kMeyerWempe
譈	憝kMatthews,kMeyerWempe 懟kMatthews
證	証kLau,kMatthews,kMeyerWempe
譌	訛kHKGlyph,kMatthews,kMeyerWempe
譎	憰kMatthews
譐	噂kMeyerWempe
譙	誚kFenn
譚	談kLau
譟	噪kLau
警	儆kMatthews,kMeyerWempe
譭	䛼kMatthews,kMeyerWempe
讁	謫kMatthews
變	变kMatthews,kMeyerWempe 変kHanyu:T
讌	宴kLau,kMatthews
讍	諤kMatthews
讎	仇kMeyerWempe 讐kMatthews,kMeyerWempe
讐	仇kLau,kMeyerWempe 讎kMatthews,kMeyerWempe
讘	囁kMeyerWempe
谿	嵠kMeyerWempe
豆	荳kLau
豇	䜶kMatthews
豋	登kFenn
豎	竪kLau,kMatthews
豓	艶kMatthews 豔kMatthews
豔	艶kHKGlyph,kLau,kMatthews 豓kMatthews
豘	豚kMatthews,kMeyerWempe
豚	豘kMatthews,kMeyerWempe
豜	豣kMatthews
豝	羓kMeyerWempe
豣	豜kMatthews
豫	預kLau,kMatthews,kMeyerWempe
豬	猪kLau,kMatthews,kMeyerWempe
豳	㟗kMatthews 邠kMatthews
豴	蹢kMeyerWempe
豵	䝋kMatthews,kMeyerWempe
豸	廌kMatthews
豺	犲kMatthews
豻	犴kMatthews,kMeyerWempe
貌	皃kFenn
貍	狸kHKGlyph,kMatthews,kMeyerWempe
貎	皃kMatthews
貓	猫kLau,kMatthews,kMeyerWempe
貛	獾kMatthews
財	㒲kMatthews
販	𧶶kFenn
貭	質kMatthews
貳	二kMeyerWempe 弍kMeyerWempe
賅	侅kMatthews,kMeyerWempe
賍	贓kLau,kMatthews,kMeyerWempe 贜kFenn
賓	賔kMatthews
賔	賓kMatthews
賛	贊kLau,kMatthews
賢	贒kMatthews
質	貭kMatthews
賫	齎kMatthews
賬	帳kLau
賮	贐kMatthews
賴	頼kLau,kMatthews,kMeyerWempe
賸	剩kLau,kMatthews
賺	贃kLau,kMatthews
贃	賺kLau,kMatthews 𧸖kFenn
贊	賛kLau,kMatthews
贋	偐kMatthews 贗kMatthews
贐	賮kMatthews
贒	賢kMatthews
贓	賍kLau,kMatthews,kMeyerWempe 贜kFenn
贗	偐kMatthews 贋kMatthews
贜	賍kFenn 贓kFenn
赤	𤆍kFenn
赬	䞓kMeyerWempe
赶	趕kLau,kMatthews,kMeyerWempe
趁	趂kMatthews
趂	趁kMatthews
趄	跙kMatthews
趋	趨kMatthews
趒	跳kMatthews,kMeyerWempe
趕	赶kLau,kMatthews,kMeyerWempe
趨	趋kMatthews
趮	躁kMatthews,kMeyerWempe
趯	躍kMatthews
跖	蹠kMeyerWempe
跙	趄kMatthews
跡	蹟kHKGlyph,kLau,kMatthews,kMeyerWempe 迹kHKGlyph,kLau,kMatthews,kMeyerWempe
跥	跺kMatthews
跳	趒kMatthews,kMeyerWempe
跴	踹kMatthews
跺	跥kMatthews
踁	硜kMeyerWempe
踊	踴kLau,kMatthews
踏	蹋kMeyerWempe
踪	蹤kHKGlyph,kLau,kMatthews,kMeyerWempe
踭	㬹kMeyerWempe
踰	逾kMatthews,kMeyerWempe
踴	踊kLau,kMatthews
踵	歱kFenn
踹	跴kMatthews
踽	偊kMatthews,kMeyerWempe
蹄	蹏kLau,kMatthews
蹋	踏kMeyerWempe 蹹kMatthews
蹌	牄kMatthews
蹏	蹄kLau,kMatthews
蹝	屣kMatthews 躧kMatthews
